Name,Type,Prerequistites,Summary
Agile Maneuvers,Combat,-,Use your Dex bonus when calculating your CMB
Arcane Armor Mastery,Combat,"Arcane Armor Training, Armor Proficiency, Medium, caster level 7th",Reduce your arcane spell failure chance by 20%
Arcane Armor Training,Combat,"Armor Proficiency, Light, caster level 3rd",Reduce your arcane spell failure chance by 10%
Arcane Strike,Combat,Ability to cast arcane spells,+1 damage and weapons are considered magic
Bleeding Critical,Combat,"Critical Focus, base attack bonus +11","Whenever you score a critical hit, the target takes 2d6 bleed"
Blind-Fight,Combat,-,
Blinding Critical,Combat,"Critical Focus, base attack bonus +15","Whenever you score a critical hit, the target is blinded"
Catch Off-Guard,Combat,-,No penalties for improvised melee weapons
Channel Smite,Combat,Channel energy class feature,Channel energy through your attack
Cleave,Combat,Power Attack,Make an additional attack if the first one hits
Combat Expertise,Combat,Int 13,Trade attack bonus for AC bonus
Combat Reflexes,Combat,-,Make additional attacks of opportunity
Critical Focus,Combat,Base attack bonus +9,+4 bonus on attack rolls made to confirm critical hits
Critical Mastery,Combat,"Any two critical feats, 14th-level fighter",Apply two effects to your critical hits
Dazzling Display,Combat,Weapon Focus,Intimidate all foes within 30 feet
Deadly Aim,Combat,"Dex 13, base attack bonus +1",Trade ranged attack bonus for damage
Deadly Stroke,Combat,"Greater Weapon Focus, Shatter Defenses, base attack bonus +11",Deal double damage plus 1 Conbleed 
Deafening Critical,Combat,"Critical Focus, base attack bonus +13","Whenever you score a critical hit, the target is deafened"
Defensive Combat Training,Combat,-,Use your total Hit Dice as your base attack bonus for CMD
Deflect Arrows,Combat,"Dex 13, Improved Unarmed Strike",Avoid one ranged attack per round
Disruptive,Combat,6th-level fighter,Increases the DC to cast spells adjacent to you
Dodge,Combat,Dex 13,+1 dodge bonus to AC
Double Slice,Combat,Two-Weapon Fighting,Add your Str bonus to off-hand damage rolls 
Exhausting Critical,Combat,"Tiring Critical, base attack bonus +15","Whenever you score a critical hit, the target is exhausted"
Exotic Weapon Proficiency,Combat,Base attack bonus +1,No penalty on attacks made with one exotic weapon
Far Shot,Combat,Point Blank Shot,Decrease ranged penalties by half
Gorgon&apos;s Fist,Combat,"Scorpion Style, base attack bonus +6",Stagger a foe whose speed is reduced
Great Cleave,Combat,"Cleave, base attack bonus +4",Make an additional attack after each attack hits
Greater Bull Rush,Combat,"Improved Bull Rush, base attack bonus +6",Enemies you bull rush provoke attacks of opportunity
Greater Disarm,Combat,"Improved Disarm, base attack bonus +6",Disarmed weapons are knocked away from your enemy
Greater Feint,Combat,"Improved Feint, base attack bonus +6",Enemies you feint lose their Dex bonus for 1 round
Greater Grapple,Combat,"Improved Grapple, base attack bonus +6",Maintain your grapple as a move action
Greater Overrun,Combat,"Improved Overrun, base attack bonus +6",Enemies you overrun provoke attacks of opportunity
Greater Penetrating Strike,Combat,"Penetrating Strike, 16th-level fighter",Your attacks ignore 10 points of damage reduction
Greater Shield Focus,Combat,"Shield Focus, 8th-level fighter",Gain a +1 bonus to your AC when using a shield
Greater Sunder,Combat,"Improved Sunder, base attack bonus +6",Damage from sunder attempts transfers to your enemy
Greater Trip,Combat,"Improved Trip, base attack bonus +6",Enemies you trip provoke attacks of opportunity 
Greater Two-Weapon Fighting,Combat,"Dex 19, Improved Two-Weapon Fighting, base attack bonus +11",Gain a third off-hand attack
Greater Vital Strike,Combat,"Improved Vital Strike, base attack bonus +16",Deal four times the normal damage on a single attack
Greater Weapon Focus,Combat,"Weapon Focus, 8th-level fighter",+1 bonus on attack rolls with one weapon
Greater Weapon Specialization,Combat,"Weapon Specialization, 12th-level fighter",+2 bonus on damage rolls with one weapon
Improved Bull Rush,Combat,Power Attack,"+2 bonus on bull rush attempts, no attack of opportunity"
Improved Critical,Combat,"Proficiency with weapon, base attack bonus +8",Double the threat range of one weapon
Improved Disarm,Combat,Combat Expertise,"+2 bonus on disarm attempts, no attack of opportunity"
Improved Feint,Combat,Combat Expertise,Feint as a move action
Improved Grapple,Combat,"Dex 13, Improved Unarmed Strike","+2 bonus on grapple attempts, no attack of opportunity"
Improved Initiative,Combat,-,+4 bonus on initiative checks
Improved Overrun,Combat,Power Attack,"+2 bonus on overrun attempts, no attack of opportunity"
Improved Precise Shot,Combat,"Dex 19, Precise Shot, base attack bonus +11",No cover or concealment chance on ranged attacks
Improved Shield Bash,Combat,Shield Proficiency,Keep your shield bonus when shield bashing
Improved Sunder,Combat,Power Attack,"+2 bonus on sunder attempts, no attack of opportunity"
Improved Trip,Combat,Combat Expertise,"+2 bonus on trip attempts, no attack of opportunity"
Improved Two-Weapon Fighting,Combat,"Dex 17, Two-Weapon Fighting, base attack bonus +6",Gain additional off-hand attack
Improved Unarmed Strike,Combat,-,Always considered armed
Improved Vital Strike,Combat,"Vital Strike, base attack bonus +11",Deal three times the normal damage on a single attack
Improvised Weapon Mastery,Combat,"Catch Off-Guard or Throw Anything, base attack bonus +8",Make an improvised weapon deadly
Intimidating Prowess,Combat,-,Add Str to Intimidate  in addition to Cha
Lightning Stance,Combat,"Dex 17, Wind Stance, base attack bonus +11",Gain 50% concealment if you move
Lunge,Combat,Base attack bonus +6,Take a –2 penalty to your AC to attack with reach
